%units			
	net_eco_exchange = "g:d-1:m-2"		
	net_eco_exchange_std = "g:d-1:m-2"		
			
%info			
	author  = ""		
	contact = ""		
	date    = "2014-08-01 15:00:00"		
	project = ""		
	comment = ""		
			
%data			
date	time	nee	nee_std
2006-11-15	12:00	-8.21334	na
2006-11-16	12:00	-8.35189	na
2006-11-17	12:00	-8.56793	na
2006-11-18	12:00	-8.80815	na
2006-11-19	12:00	-9.04986	na
2006-11-20	12:00	-11.321	na
2006-11-21	12:00	-14.1661	na
2006-11-22	12:00	-13.0023	na
2006-11-23	12:00	-16.9169	na
2006-11-24	12:00	-14.0758	na
2006-11-25	12:00	-13.5253	na
2006-11-26	12:00	-13.5125	na
2006-11-27	12:00	-16.5414	na
2006-11-28	12:00	-15.0338	na
2006-11-29	12:00	-14.6792	na
2006-11-30	12:00	-14.4322	na
2006-12-01	12:00	-16.0329	na
2006-12-02	12:00	-14.657	na
2006-12-03	12:00	-14.5906	na
2006-12-04	12:00	-14.0374	na
2006-12-05	12:00	-14.0994	na
2006-12-06	12:00	-13.8665	na
2006-12-07	12:00	-13.8934	na
2006-12-08	12:00	-13.9902	na
2006-12-09	12:00	-14.4185	na
2006-12-10	12:00	-14.1395	na
2006-12-11	12:00	-13.8558	na
2006-12-12	12:00	-129.575	na
2006-12-13	12:00	-187.596	na
2006-12-14	12:00	-171.114	na
2006-12-15	12:00	-134.303	na
2006-12-16	12:00	-124.174	na
2006-12-17	12:00	-127.207	na
2006-12-18	12:00	-115.99	na
2006-12-19	12:00	-103.767	na
2006-12-20	12:00	-93.7102	na
2006-12-21	12:00	-81.9415	na
2006-12-22	12:00	-75.9156	na
2006-12-23	12:00	-70.6427	na
2006-12-24	12:00	-64.0994	na
2006-12-25	12:00	-59.7858	na
2006-12-26	12:00	-58.9148	na
2006-12-27	12:00	-54.0728	na
2006-12-28	12:00	-50.0435	na
2006-12-29	12:00	-46.3544	na
2006-12-30	12:00	-42.8279	na
2006-12-31	12:00	-37.8431	na
2007-01-01	12:00	-37.5603	na
2007-01-02	12:00	-38.6202	na
2007-01-03	12:00	-38.043	na
2007-01-04	12:00	-36.5843	na
2007-01-05	12:00	-36.0717	na
2007-01-06	12:00	-34.494	na
2007-01-07	12:00	-32.7025	na
2007-01-08	12:00	-31.6919	na
2007-01-09	12:00	-29.2515	na
2007-01-10	12:00	-25.59	na
2007-01-11	12:00	-24.2435	na
2007-01-12	12:00	-23.7061	na
2007-01-13	12:00	-23.7516	na
2007-01-14	12:00	-22.7385	na
2007-01-15	12:00	-21.9179	na
2007-01-16	12:00	-22.0913	na
2007-01-17	12:00	-20.372	na
2007-01-18	12:00	-19.602	na
2007-01-19	12:00	-18.7863	na
2007-01-20	12:00	-18.0674	na
2007-01-21	12:00	-16.8371	na
2007-01-22	12:00	-16.4479	na
2007-01-23	12:00	-16.9367	na
2007-01-24	12:00	-16.7378	na
2007-01-25	12:00	-16.6734	na
2007-01-26	12:00	-16.1087	na
2007-01-27	12:00	-15.6094	na
2007-01-28	12:00	-15.1438	na
2007-01-29	12:00	-14.6745	na
2007-01-30	12:00	-14.7537	na
2007-01-31	12:00	-14.8793	na
2007-02-01	12:00	-14.7672	na
2007-02-02	12:00	-14.5181	na
2007-02-03	12:00	-14.0578	na
2007-02-04	12:00	-13.3894	na
2007-02-05	12:00	8.16755	na
2007-02-06	12:00	-3.70033	na
2007-02-07	12:00	7.51925	na
2007-02-08	12:00	40.753	na
2007-02-09	12:00	52.1756	na
2007-02-10	12:00	66.4939	na
2007-02-11	12:00	76.7082	na
2007-02-12	12:00	-13.7248	na
2007-02-13	12:00	-12.7163	na
2007-02-14	12:00	-12.1932	na
2007-02-15	12:00	-11.7803	na
2007-02-16	12:00	-11.4512	na
2007-02-17	12:00	-11.2127	na
2007-02-18	12:00	-11.0969	na
2007-02-19	12:00	-11.9038	na
2007-02-20	12:00	-11.4665	na
2007-02-21	12:00	-11.2881	na
2007-02-22	12:00	-11.159	na
2007-02-23	12:00	-11.5407	na
2007-02-24	12:00	-12.3058	na
2007-02-25	12:00	-11.8111	na
2007-02-26	12:00	-11.3048	na
2007-02-27	12:00	-11.4713	na
2007-02-28	12:00	-11.2911	na
2007-03-01	12:00	-11.1835	na
2007-03-02	12:00	-11.2763	na
2007-03-03	12:00	-10.6104	na
2007-03-04	12:00	-10.1682	na
2007-03-05	12:00	-9.52874	na
2007-03-06	12:00	-8.82703	na
2007-03-07	12:00	-8.22622	na
2007-03-08	12:00	-7.72942	na
2007-03-09	12:00	-7.30413	na
2007-03-10	12:00	-7.03731	na
2007-03-11	12:00	-6.90836	na
2007-03-12	12:00	-7.18239	na
2007-03-13	12:00	-7.55853	na
2007-03-14	12:00	-7.36345	na
2007-03-15	12:00	-8.05193	na
2007-03-16	12:00	-7.9586	na
2007-03-17	12:00	-8.18101	na
2007-03-18	12:00	-8.43719	na
2007-03-19	12:00	-8.5612	na
2007-03-20	12:00	-9.48842	na
2007-03-21	12:00	-8.89284	na
2007-03-22	12:00	-9.46351	na
2007-03-23	12:00	-9.12532	na
2007-03-24	12:00	-8.52345	na
2007-03-25	12:00	-8.193	na
2007-03-26	12:00	-7.88431	na
2007-03-27	12:00	-8.25591	na
2007-03-28	12:00	-8.4394	na
2007-03-29	12:00	-8.82153	na
2007-03-30	12:00	-8.74828	na
2007-03-31	12:00	-8.69512	na
2007-04-01	12:00	-8.65175	na
2007-04-02	12:00	-8.20999	na
2007-04-03	12:00	-7.6773	na
2007-04-04	12:00	-7.57022	na
2007-04-05	12:00	-7.67599	na
2007-04-06	12:00	-7.9763	na
2007-04-07	12:00	-8.09516	na
2007-04-08	12:00	-8.39672	na
2007-04-09	12:00	-8.11705	na
2007-04-10	12:00	-7.99884	na
2007-04-11	12:00	-7.93459	na
2007-04-12	12:00	-7.38376	na
2007-04-13	12:00	-6.91097	na
2007-04-14	12:00	-6.82209	na
2007-04-15	12:00	-6.75969	na
2007-04-16	12:00	-6.84412	na
2007-04-17	12:00	-6.70128	na
2007-04-18	12:00	-6.41334	na
2007-04-19	12:00	-6.39372	na
2007-04-20	12:00	-6.03656	na
2007-04-21	12:00	-5.8934	na
2007-04-22	12:00	-5.63044	na
2007-04-23	12:00	-5.39951	na
2007-04-24	12:00	-5.46429	na
2007-04-25	12:00	-5.48094	na
2007-04-26	12:00	-5.25059	na
2007-04-27	12:00	-5.12415	na
2007-04-28	12:00	-4.95059	na
2007-04-29	12:00	-4.73512	na
2007-04-30	12:00	-4.60568	na
2007-05-01	12:00	-4.40281	na
2007-05-02	12:00	-4.60499	na
2007-05-03	12:00	-5.31564	na
2007-05-04	12:00	-5.95571	na
2007-05-05	12:00	-6.32063	na
2007-05-06	12:00	-6.31794	na
2007-05-07	12:00	-6.28563	na
2007-05-08	12:00	-6.54792	na
2007-05-09	12:00	-6.74661	na
2007-05-10	12:00	116.269	na
2007-05-11	12:00	-6.96892	na
2007-05-12	12:00	120.709	na
2007-05-13	12:00	107.207	na
2007-05-14	12:00	-7.37186	na
2007-05-15	12:00	-7.26642	na
2007-05-16	12:00	-7.23587	na
2007-05-17	12:00	129.577	na
2007-05-18	12:00	-7.07962	na
2007-05-19	12:00	-6.77377	na
2007-05-20	12:00	-6.79531	na
2007-05-21	12:00	141.681	na
2007-05-22	12:00	121.135	na
2007-05-23	12:00	79.7999	na
2007-05-24	12:00	109.242	na
2007-05-25	12:00	-7.83985	na
2007-05-26	12:00	-6.81129	na
2007-05-27	12:00	-6.25527	na
2007-05-28	12:00	-5.79876	na
2007-05-29	12:00	-5.24894	na
2007-05-30	12:00	-4.89164	na
2007-05-31	12:00	-4.92811	na
2007-06-01	12:00	-5.04282	na
2007-06-02	12:00	-5.24278	na
2007-06-03	12:00	-5.45164	na
2007-06-04	12:00	-5.59826	na
2007-06-05	12:00	-5.80121	na
2007-06-06	12:00	-6.00798	na
2007-06-07	12:00	-5.9889	na
2007-06-08	12:00	-5.89119	na
2007-06-09	12:00	-5.80576	na
2007-06-10	12:00	-5.67664	na
2007-06-11	12:00	-5.4278	na
2007-06-12	12:00	-5.65524	na
2007-06-13	12:00	-5.62801	na
2007-06-14	12:00	-5.90327	na
2007-06-15	12:00	-6.18311	na
2007-06-16	12:00	-6.2747	na
2007-06-17	12:00	-6.30501	na
2007-06-18	12:00	-6.36151	na
2007-06-19	12:00	-6.1701	na
2007-06-20	12:00	-6.09156	na
2007-06-21	12:00	143.742	na
2007-06-22	12:00	-6.38719	na
2007-06-23	12:00	-6.34743	na
2007-06-24	12:00	-6.38942	na
2007-06-25	12:00	-6.47863	na
2007-06-26	12:00	-6.43764	na
2007-06-27	12:00	-6.45855	na
2007-06-28	12:00	141.499	na
2007-06-29	12:00	-6.61271	na
2007-06-30	12:00	-6.50483	na
2007-07-01	12:00	-6.53462	na
2007-07-02	12:00	150.338	na
2007-07-03	12:00	-6.68808	na
2007-07-04	12:00	-6.58049	na
2007-07-05	12:00	-6.63296	na
2007-07-06	12:00	145.207	na
2007-07-07	12:00	-6.70598	na
2007-07-08	12:00	-6.81311	na
2007-07-09	12:00	-6.68906	na
2007-07-10	12:00	-6.53666	na
2007-07-11	12:00	-6.46566	na
2007-07-12	12:00	-6.35416	na
2007-07-13	12:00	-6.30078	na
2007-07-14	12:00	-6.31382	na
