%units
	n_n2o = "ug:h-1:m-2"
	n_n2o_std = "ug:h-1:m-2"

%info
	author  = ""
	contact = ""
	date    = "2014-08-01 15:00:00"
	project = ""
	comment = ""

%data
date	time	n_n2o	n_n2o_std
2007-04-08	12:00	0.00348106	na
2007-04-09	12:00	0.00303169	na
2007-04-10	12:00	0.00267204	na
2007-04-11	12:00	0.00277262	na
2007-07-22	12:00	0.0026549	na
2007-07-23	12:00	0.00251005	na
2007-07-24	12:00	0.00278162	na
2007-07-25	12:00	0.00314851	na
2007-07-26	12:00	0.00342197	na
2007-07-27	12:00	0.00354797	na
2007-07-28	12:00	0.00368569	na
2007-07-29	12:00	0.0036912	na
2007-07-30	12:00	0.00515489	na
2007-07-31	12:00	0.00581811	na
2007-08-01	12:00	0.00604392	na
2007-08-02	12:00	0.00551594	na
2007-08-03	12:00	0.00529849	na
2007-08-04	12:00	0.00491925	na
2007-08-05	12:00	0.00477681	na
2007-08-06	12:00	0.00444344	na
2007-08-07	12:00	0.00418071	na
2007-08-08	12:00	0.00459508	na
2007-08-09	12:00	0.00506022	na
2007-08-10	12:00	0.00537375	na
2007-08-11	12:00	0.00471538	na
2007-08-12	12:00	0.00465857	na
2007-08-13	12:00	0.00493434	na
2007-08-16	12:00	0.00494362	na
2007-08-17	12:00	0.00522879	na
2007-08-18	12:00	0.00534336	na
2007-08-19	12:00	0.00554044	na
2007-08-20	12:00	0.00559152	na
2007-08-21	12:00	0.00560196	na
2007-08-22	12:00	0.00569283	na
2007-08-23	12:00	0.00568444	na
2007-08-24	12:00	0.00568592	na
2007-08-25	12:00	0.0049025	na
2007-08-26	12:00	0.00471305	na
2007-08-27	12:00	0.00443691	na
2007-08-28	12:00	0.00455898	na
2007-08-29	12:00	0.00614142	na
2007-08-30	12:00	0.00626073	na
2007-08-31	12:00	0.00622724	na
2007-09-01	12:00	0.00646369	na
2007-09-02	12:00	0.00684971	na
2007-09-03	12:00	0.00734893	na
2007-09-04	12:00	0.0068574	na
2007-09-05	12:00	0.00542008	na
2007-09-06	12:00	0.00533748	na
2007-09-07	12:00	0.00524893	na
2007-09-08	12:00	0.00555156	na
2007-09-09	12:00	0.00590153	na
2007-09-10	12:00	0.00604567	na
2007-09-11	12:00	0.00597097	na
2007-09-12	12:00	0.00595036	na
2007-09-13	12:00	0.00607089	na
2007-09-14	12:00	0.00607671	na
2007-09-15	12:00	0.00601326	na
2007-09-16	12:00	0.00600479	na
2007-09-17	12:00	0.00602137	na
2007-09-18	12:00	0.00603991	na
2007-09-19	12:00	0.00607661	na
2007-09-20	12:00	0.00614213	na
2007-09-21	12:00	0.0061344	na
2007-09-22	12:00	0.0060421	na
2007-09-23	12:00	0.00590567	na
2007-09-24	12:00	0.00571277	na
2007-09-25	12:00	0.00545937	na
2007-09-26	12:00	0.0052564	na
2007-09-27	12:00	0.00509639	na
2007-09-28	12:00	0.00494283	na
2007-09-29	12:00	0.004839	na
2007-09-30	12:00	0.00475903	na
2007-10-01	12:00	0.00466838	na
2007-10-02	12:00	0.00453664	na
2007-10-03	12:00	0.00435915	na
2007-10-04	12:00	0.00417965	na
2007-10-05	12:00	0.0039687	na
2007-10-06	12:00	0.00297122	na
2007-10-07	12:00	0.00301645	na
2007-10-08	12:00	0.00327139	na
2007-10-09	12:00	0.00330202	na
2007-10-10	12:00	0.00313979	na
2007-10-11	12:00	0.00259528	na
2007-10-12	12:00	0.00271373	na
2007-10-13	12:00	0.00272349	na
2007-10-14	12:00	0.00259128	na
2007-10-15	12:00	0.0030415	na
2007-10-16	12:00	0.00374073	na
2007-10-17	12:00	0.00418891	na
2007-10-18	12:00	0.00405135	na
2007-10-19	12:00	0.00401735	na
2007-10-20	12:00	0.00341071	na
2007-10-21	12:00	0.00347725	na
2007-10-22	12:00	0.00369045	na
2007-10-23	12:00	0.00397614	na
2007-10-24	12:00	0.0042501	na
2007-10-25	12:00	0.0049063	na
2007-10-26	12:00	0.0053429	na
2007-10-27	12:00	0.00462944	na
2007-10-28	12:00	0.00530637	na
2007-10-29	12:00	0.00588635	na
2007-10-30	12:00	0.00620938	na
2007-10-31	12:00	0.00637397	na
2007-11-01	12:00	0.00527003	na
2007-11-02	12:00	0.00605429	na
2007-11-03	12:00	0.00593693	na
2007-11-04	12:00	0.00596703	na
2007-11-05	12:00	0.00677596	na
2007-11-06	12:00	0.00745739	na
2007-11-07	12:00	0.00699903	na
2007-11-08	12:00	0.0078099	na
2007-11-09	12:00	0.00920304	na
2007-11-10	12:00	0.0104357	na
2007-11-11	12:00	0.0113165	na
2007-11-12	12:00	0.0118111	na
2007-11-13	12:00	0.0118507	na
2007-11-14	12:00	0.0109103	na
2007-11-15	12:00	0.0104381	na
2007-11-16	12:00	0.0100116	na
2007-11-17	12:00	0.00932701	na
2007-11-18	12:00	0.00861004	na
2007-11-19	12:00	0.00775003	na
2007-11-20	12:00	0.00685391	na
2007-11-21	12:00	0.00527052	na
2007-11-22	12:00	0.00491886	na
2007-11-23	12:00	0.00477593	na
2007-11-24	12:00	0.00427406	na
2007-11-25	12:00	0.00446644	na
2007-11-26	12:00	0.00451445	na
2007-11-27	12:00	0.00510011	na
2007-11-28	12:00	0.0052655	na
2007-11-29	12:00	0.00486426	na
2007-11-30	12:00	0.00558684	na
2007-12-01	12:00	0.00622412	na
2007-12-02	12:00	0.00574753	na
2007-12-03	12:00	0.00590514	na
2007-12-04	12:00	0.0069309	na
2007-12-05	12:00	0.00760389	na
2007-12-06	12:00	0.00685374	na
2007-12-07	12:00	0.00704913	na
2007-12-08	12:00	0.00675978	na
2007-12-12	12:00	0.00703148	na
2007-12-13	12:00	0.00673231	na
2007-12-14	12:00	0.00625535	na
2007-12-15	12:00	0.00672458	na
2007-12-16	12:00	0.00717275	na
2007-12-17	12:00	0.00759277	na
2007-12-18	12:00	0.00700481	na
2007-12-19	12:00	0.00676345	na
2007-12-20	12:00	0.00689818	na
2007-12-21	12:00	0.00750743	na
2007-12-22	12:00	0.00802875	na
2007-12-23	12:00	0.00890034	na
2007-12-24	12:00	0.00965177	na
2007-12-25	12:00	0.0103961	na
2007-12-26	12:00	0.00946245	na
2007-12-27	12:00	0.00952424	na
2007-12-28	12:00	0.0101324	na
2007-12-29	12:00	0.0191407	na
2007-12-30	12:00	0.0347057	na
2007-12-31	12:00	0.025819	na
2008-01-01	12:00	0.0191983	na
2008-01-02	12:00	0.0161142	na
2008-01-03	12:00	0.015376	na
2008-01-04	12:00	0.0147136	na
2008-01-05	12:00	0.0154619	na
2008-01-06	12:00	0.0160088	na
2008-01-07	12:00	0.0163598	na
2008-01-08	12:00	0.0161024	na
2008-01-09	12:00	0.0166572	na
2008-01-10	12:00	0.017376	na
2008-01-11	12:00	0.0183427	na
2008-01-12	12:00	0.0189597	na
2008-01-13	12:00	0.0194349	na
2008-01-14	12:00	0.0201818	na
2008-01-15	12:00	0.0211775	na
2008-01-16	12:00	0.0184829	na
2008-01-17	12:00	0.0182425	na
2008-01-18	12:00	0.0155168	na
2008-01-19	12:00	0.0141718	na
2008-01-20	12:00	0.0136871	na
2008-01-21	12:00	0.0147108	na
2008-01-22	12:00	0.0142865	na
2008-01-23	12:00	0.0163611	na
2008-01-24	12:00	0.0162344	na
2008-04-18	12:00	0.0157912	na
2008-04-19	12:00	0.013649	na
2008-04-20	12:00	0.014289	na
2008-04-21	12:00	0.0150014	na
2008-04-22	12:00	0.0145287	na
2008-04-24	12:00	0.0133403	na
2008-04-25	12:00	0.0144419	na
2008-04-26	12:00	0.0108019	na
2008-04-27	12:00	0.0116723	na
2008-04-28	12:00	0.0114759	na
2008-04-29	12:00	0.011752	na
2008-04-30	12:00	0.0123278	na
2008-05-01	12:00	0.0125468	na
2008-05-02	12:00	0.0126487	na
2008-05-03	12:00	0.0127828	na
2008-05-04	12:00	0.0129393	na
2008-05-05	12:00	0.0132524	na
2008-05-06	12:00	0.0134612	na
2008-05-07	12:00	0.013567	na
2008-05-08	12:00	0.0128916	na
2008-05-09	12:00	0.0130107	na
2008-05-10	12:00	0.0130493	na
2008-05-11	12:00	0.0128771	na
2008-05-12	12:00	0.0132143	na
2008-05-13	12:00	0.0133294	na
2008-05-14	12:00	0.0132329	na
2008-05-15	12:00	0.0130113	na
2008-05-16	12:00	0.0127708	na
2008-05-17	12:00	0.0125631	na
2008-05-18	12:00	0.0124576	na
2008-05-19	12:00	0.0123399	na
2008-05-20	12:00	0.0122805	na
2008-05-21	12:00	0.0122865	na
2008-05-22	12:00	0.0102091	na
2008-05-23	12:00	0.0104408	na
2008-05-24	12:00	0.0103232	na
2008-05-25	12:00	0.0103473	na
2008-05-26	12:00	0.010344	na
2008-05-27	12:00	0.0103305	na
2008-05-28	12:00	0.0104095	na
2008-05-29	12:00	0.00945213	na
2008-05-30	12:00	0.00894844	na
2008-05-31	12:00	0.00805519	na
2008-06-01	12:00	0.00774922	na
2008-06-02	12:00	0.00790312	na
2008-06-03	12:00	0.00869701	na
2008-06-04	12:00	0.00912255	na
2008-06-05	12:00	0.00784228	na
2008-06-06	12:00	0.00797687	na
2008-06-07	12:00	0.00857308	na
2008-06-08	12:00	0.00893902	na
2008-06-09	12:00	0.00919339	na
2008-06-10	12:00	0.00937605	na
2008-06-11	12:00	0.00925283	na
2008-06-12	12:00	0.00921664	na
2008-06-13	12:00	0.00702173	na
2008-06-14	12:00	0.00743067	na
2008-06-15	12:00	0.00788808	na
2008-06-16	12:00	0.00809317	na
2008-06-17	12:00	0.00836054	na
2008-06-18	12:00	0.00843789	na
2008-06-19	12:00	0.00830222	na
2008-06-20	12:00	0.00844504	na
2008-06-21	12:00	0.00810186	na
2008-06-22	12:00	0.00809957	na
2008-06-23	12:00	0.00789822	na
2008-06-24	12:00	0.0075847	na
2008-06-25	12:00	0.00737783	na
2008-06-26	12:00	0.0071792	na
2008-06-27	12:00	0.00694835	na
2008-06-28	12:00	0.00674024	na
2008-06-29	12:00	0.00659717	na
2008-06-30	12:00	0.0064614	na
2008-07-01	12:00	0.00632783	na
2008-07-02	12:00	0.00618374	na
2008-07-03	12:00	0.00388814	na
2008-07-04	12:00	0.00355833	na
2008-07-05	12:00	0.00383105	na
2008-07-06	12:00	0.00409375	na
2008-07-07	12:00	0.00437258	na
2008-07-08	12:00	0.0047132	na
2008-07-09	12:00	0.00468898	na
2008-07-10	12:00	0.00472734	na
2008-07-11	12:00	0.0046654	na
2008-07-12	12:00	0.00468538	na
2008-07-13	12:00	0.00448289	na
2008-07-14	12:00	0.00454196	na
2008-07-15	12:00	0.00455655	na
2008-07-16	12:00	0.00449471	na
2008-07-17	12:00	0.00448754	na
2008-07-18	12:00	0.00426325	na
2008-07-19	12:00	0.00423067	na
2008-07-20	12:00	0.00415452	na
2008-07-21	12:00	0.00409447	na
2008-07-22	12:00	0.00402687	na
2008-07-23	12:00	0.00363561	na
2008-07-24	12:00	0.0037975	na
2008-07-25	12:00	0.0034693	na
2008-07-26	12:00	0.00338842	na
2008-07-27	12:00	0.00347104	na
2008-07-28	12:00	0.00344575	na
2008-07-29	12:00	0.00338685	na
2008-07-30	12:00	0.00346829	na
2008-07-31	12:00	0.00337846	na
2008-08-01	12:00	0.00329664	na
2008-08-02	12:00	0.00313545	na
2008-08-03	12:00	0.00311275	na
2008-08-04	12:00	0.00304764	na
2008-08-05	12:00	0.00274336	na
2008-08-06	12:00	0.00248415	na
2008-08-07	12:00	0.00203367	na
2008-08-08	12:00	0.00220528	na
2008-08-09	12:00	0.00222417	na
2008-08-10	12:00	0.00223288	na
2008-08-11	12:00	0.00221003	na
2008-08-12	12:00	0.00181664	na
2008-08-13	12:00	0.00187815	na
2008-08-14	12:00	0.00173475	na
2008-08-15	12:00	0.00173349	na
2008-08-16	12:00	0.00183366	na
2008-08-17	12:00	0.00175578	na
2008-08-18	12:00	0.00173769	na
2008-08-19	12:00	0.00173717	na
2008-08-20	12:00	0.00171568	na
2008-08-21	12:00	0.00169031	na
2008-08-22	12:00	0.00166365	na
2008-08-23	12:00	0.00161166	na
2008-08-24	12:00	0.0015262	na
2008-08-25	12:00	0.00145336	na
2008-08-26	12:00	0.00141134	na
2008-08-27	12:00	0.00137549	na
2008-08-28	12:00	0.00145575	na
2008-08-29	12:00	0.00137475	na
2008-08-30	12:00	0.0013452	na
2008-08-31	12:00	0.00135452	na
2008-09-01	12:00	0.00136334	na
2008-09-02	12:00	0.00131201	na
2008-09-03	12:00	0.00128327	na
2008-09-04	12:00	0.00126643	na
2008-09-05	12:00	0.00126289	na
2008-09-06	12:00	0.00121927	na
2008-09-07	12:00	0.00120597	na
2008-09-08	12:00	0.00105827	na
2008-09-09	12:00	0.00102235	na
2008-09-10	12:00	0.00113288	na
2008-09-11	12:00	0.00120155	na
2008-09-15	12:00	0.00122795	na
2008-09-16	12:00	0.00122848	na
2008-09-17	12:00	0.00125927	na
2008-09-18	12:00	0.0013444	na
2008-09-19	12:00	0.00133145	na
2008-09-20	12:00	0.00130702	na
2008-09-21	12:00	0.00131153	na
2008-09-22	12:00	0.00117114	na
2008-09-23	12:00	0.0010881	na
2008-09-24	12:00	0.00124255	na
2008-09-25	12:00	0.00127065	na
2008-09-26	12:00	0.00141144	na
2008-09-27	12:00	0.00151012	na
2008-09-28	12:00	0.00148829	na
2008-09-29	12:00	0.00144454	na
2008-09-30	12:00	0.00142447	na
2008-10-01	12:00	0.00134747	na
2008-10-02	12:00	0.00128324	na
2008-10-03	12:00	0.00123165	na
